company_name,position_name,salary,city,work_years,education,advantage,desc,mark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华住酒店集团,java研发工程师,12k-22k,上海,3-5年,本科,"上市公司,五险一金",https://www.lagou.com/jobs/5741033.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
天眼查,java工程师,20k-40k,北京,5-10年,本科,"诱人的平台,超牛的技术,超棒的领导",https://www.lagou.com/jobs/5611162.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
银科控股,java开发工程师,15k-25k,上海,3-5年,本科,"上市公司,福利好,团队氛围好",https://www.lagou.com/jobs/5822250.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
凤凰网,java工程师,15k-25k,北京,1-3年,本科,"团队扁平化,股票期权,上市公司",https://www.lagou.com/jobs/5822017.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
维外科技,java开发工程师,15k-20k,上海,3-5年,本科,"弹性工作,零食福利,双休",https://www.lagou.com/jobs/5821868.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长亮科技,java工程师,10k-20k,上海,3-5年,本科,"职业发展多样化,平台空间大,升职机会多",https://www.lagou.com/jobs/5821818.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
winchain,Java开发工程师,15k-25k,北京,5-10年,大专,"五险一金,弹性工作,饭补,带薪年假",https://www.lagou.com/jobs/4958427.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北京联行科技,java开发工程师,20k-40k,北京,3-5年,本科,"年底奖金,股权激励,大牛带队",https://www.lagou.com/jobs/5827547.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
睿善科技,Java开发工程师,8k-12k,广州,1-3年,本科,"扁平管理,弹性工作,精英团队,发展空间大",https://www.lagou.com/jobs/5056815.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中集多式联运发展有限公司,JAVA工程师,10k-18k,深圳,3-5年,本科,"有前景,愉快工作,专业提升,有发展",https://www.lagou.com/jobs/4594247.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
京北方,java开发工程师,12k-15k,杭州,3-5年,本科,"加班补贴,绩效,餐补等另算,缴纳五险一金",https://www.lagou.com/jobs/5731431.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
随手科技,JAVA开发工程师,11k-20k,深圳,1-3年,本科,"平台稳定,发展空间大,准上市公司",https://www.lagou.com/jobs/5489890.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
量投科技,java开发工程师,7k-13k,上海,应届毕业生,本科,"发展前景好,晋升空间大,扁平化管理",https://www.lagou.com/jobs/5804629.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北京贝壳友家,java,15k-30k,北京,3-5年,本科,"发展空间大,技术大牛",https://www.lagou.com/jobs/5819365.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汇美集团,java开发工程师,8k-15k,广州,3-5年,本科,"绩效,包中餐,五险一金",https://www.lagou.com/jobs/5413345.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华资软件,java开发工程师,6k-12k,武汉,1-3年,本科,"超大项目,流程规范,团队强大,绩效奖金",https://www.lagou.com/jobs/5603397.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高思教育集团,Java工程师,18k-28k,北京,3-5年,本科,"发展空间大,行业前景好",https://www.lagou.com/jobs/5114709.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鲁班到家,Java开发工程师,10k-15k,深圳,3-5年,本科,"项目好,年终奖金,股权激励！！",https://www.lagou.com/jobs/2370541.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
贝护佳,Java开发工程师,8k-10k,武汉,1-3年,大专,"年终奖,五险一金",https://www.lagou.com/jobs/4639304.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南京图慧,java开发工程师,12k-16k,南京,3-5年,大专,"下午茶,带薪年假,生日福利",https://www.lagou.com/jobs/4558170.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
乐刷,java开发工程师,15k-28k,深圳,3-5年,本科,"五险一金,节假福利,技术氛围强",https://www.lagou.com/jobs/2885498.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汇金智融,Java开发工程师,10k-15k,深圳,3-5年,本科,"五险一金,年终奖,加班费,大平台",https://www.lagou.com/jobs/4050127.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
掌上先机-旺店通ERP,java开发工程师,8k-16k,北京,1-3年,本科,"五险一金,各种补贴",https://www.lagou.com/jobs/5758344.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
